media_id,name,channel,handle_or_url,language,audience,audience_source,category,relevance,bio_or_focus,suggested_ask,status,notes
yt-diabetech,DiabeTech,youtube,https://www.youtube.com/channel/UCXi0dQQOfKJl6s2o0KtWQdg,en,88.4K,"Feedspot list, Aug 2026 - UNVERIFIED",creator,A,"Diabetes technology reviews, host Justin Eastzer",Ask for a segment on the prediction game and the missing human baseline. Tech-review format fits a demo better than any other channel here,uncontacted,"Also runs the Diabetech podcast - one contact, two channels. Best single YouTube fit found"
yt-type-one-talks,Type One Talks,youtube,https://www.youtube.com/channel/UCnOoUHQzmK3iaW7l3qJfxEw,en,422K,"Feedspot list, Aug 2026 - UNVERIFIED",creator,A,Practical T1D management tips,"Ask him to play a session on camera - ""can I beat the model at guessing my own glucose"" is a natural video",uncontacted,
yt-diabeticdanica,DiabeticDanica,youtube,https://www.youtube.com/channel/UCPzvf_zSsExm2JMvzUizXqQ,en,43.3K,"Feedspot list, Aug 2026 - UNVERIFIED",creator,B,Long-running T1D channel,Play-and-share ask,uncontacted,
yt-diabetes-strong,Diabetes Strong,youtube,https://www.youtube.com/channel/UCaK9IcxAltFtHhk0jxB6vog,en,114K,"Feedspot list, Aug 2026 - UNVERIFIED",creator,A,Fitness and diabetes management,Exercise framing: predicting the next hour is what you actually do before a workout,uncontacted,Also a blog with 114.9K Facebook followers - see the blog row
yt-hangry-woman,The Hangry Woman,youtube,https://www.youtube.com/@TheHangryWoman/,en,61.6K,"Feedspot list, Aug 2026 - UNVERIFIED",creator,B,"Blood sugar hacks, diabetes tech, recipes; host Mila Clarke",Cross-channel with her Your Diabestie podcast,uncontacted,
yt-dexcom,Dexcom,youtube,https://www.youtube.com/channel/UCCY5ydvJD6932sh4XQGifxQ,en,52.2K,"Feedspot list, Aug 2026 - UNVERIFIED",industry,C,Manufacturer channel,Not an outreach target - listed so the manufacturer channels are not mistaken for community ones,uncontacted,
yt-diabetes-uk,Diabetes UK,youtube,https://www.youtube.com/channel/UCXFFcYoTl244oguj2NAisiw,en,77K,"Feedspot list, Aug 2026 - UNVERIFIED",advocacy,B,National charity education and advocacy,"Institutional ask - route through the charity, not the channel",uncontacted,
yt-beyond-type1,Beyond Type 1,youtube,https://www.youtube.com/channel/UCOgCwdWLAIRY7MDOiD1k-6g,en,10.5K,"Feedspot list, Aug 2026 - UNVERIFIED",advocacy,B,T1D advocacy and research updates,"Same contact as the Beyond Type 1 blog and LinkedIn page - ask once, across channels",uncontacted,
yt-thet1dmama-yt,theT1Dmama,youtube,https://www.youtube.com/channel/UCVYN17GWFNsvi7NvXubm5wQ,en,2.3M,"Feedspot list, Aug 2026 - UNVERIFIED",creator,B,T1D awareness and family lifestyle,"Same person as the TikTok row - one ask, two platforms",uncontacted,
pod-juicebox,Juicebox Podcast,podcast,https://juiceboxpodcast.com/,en,large,"Beyond Type 1 podcast roundup, Aug 2026",podcast,A,Host Scott Benner. Conversations on living and parenting with T1D,Guest pitch: Livia on why she built a game to measure how well a person can predict their own glucose,uncontacted,Already in destinations.csv as fb-juicebox for the Facebook group (82.5-84K). The podcast is the bigger surface and has a media kit that supports collaborations
pod-diabetech,Diabetech,podcast,https://diabetech.info/diabetech-podcast,en,,"Beyond Type 1 podcast roundup, Aug 2026",podcast,A,Host Justin Eastzer. Diabetes technology news,Best-matched show in the whole list: a CGM-forecasting benchmark is literally its beat,uncontacted,Same contact as the DiabeTech YouTube row
pod-diabetes-connections,Diabetes Connections,podcast,https://diabetes-connections.com/,en,,"Beyond Type 1 podcast roundup, Aug 2026",podcast,A,Host Stacey Simms. Diabetes news and interviews,"News-peg pitch: ethics-approved study, open source, recruiting adults",uncontacted,
pod-diabetics-doing-things,Diabetics Doing Things,podcast,https://diabeticsdoingthings.com/,en,,"Beyond Type 1 podcast roundup, Aug 2026",podcast,B,Host Rob Howe. Interviews with people in the diabetes community,Guest pitch built around building the thing you needed yourself,uncontacted,
pod-tcoyd,Taking Control of Your Diabetes (TCOYD),podcast,https://tcoyd.org/,en,,"Beyond Type 1 podcast roundup, Aug 2026",podcast,A,Hosts Dr Steve Edelman and Dr Jeremy Pettus - practising endocrinologists,"The clinician-credibility channel. Lead with the Rostock ethics approval and the benchmark gap, not the game",uncontacted,Two endocrinologists hosting means the human-baseline argument can be made technically rather than as a human-interest story
pod-diabetes-nerd,The Diabetes Nerd,podcast,https://diabetesnerd.com/,en,,"Beyond Type 1 podcast roundup, Aug 2026",podcast,B,"Host Ginger Vieira. Research, community insights, management",Research-angle pitch,uncontacted,
pod-think-like-a-pancreas,"Think Like a Pancreas, the Podcast",podcast,https://integrateddiabetesservices.podbean.com/,en,,"Beyond Type 1 podcast roundup, Aug 2026",podcast,A,"Host Gary Scheiner, author of Think Like a Pancreas","The book title is the study premise. If any show should care that nobody has measured how well a human predicts glucose, it is this one",uncontacted,
pod-adces,Diabetes Care Conversations,podcast,https://www.adces.org/practice/diabetes-care-conversations-podcast,en,,"Beyond Type 1 podcast roundup, Aug 2026",podcast,B,"Run by ADCES, the diabetes educators body",Institutional pitch; pairs with the ADCES LinkedIn group already catalogued,uncontacted,
pod-reclaim-your-rise,Reclaim Your Rise,podcast,https://riselyhealth.com/reclaim-your-rise-podcast,en,,"Beyond Type 1 podcast roundup, Aug 2026",podcast,B,Host Lauren Bongiorno. Pattern-reading and self-management,Cross-channel with her TikTok row,uncontacted,
pod-your-diabestie,Your Diabestie,podcast,https://thehangrywoman.com/,en,,"Beyond Type 1 podcast roundup, Aug 2026",podcast,C,"Host Mila Clarke. Community, mental health, nutrition",Cross-channel with The Hangry Woman YouTube row,uncontacted,
bl-diatribe,diaTribe,blog,https://diatribe.org/,en,,"Feedspot list, Aug 2026 - UNVERIFIED",media,A,Diabetes journalism with a research-literate readership; non-profit,Pitch a short explainer: why there is no published human baseline for CGM prediction and what it costs model evaluation,uncontacted,Also in linkedin-people-catalogue and diabetes-orgs-catalogue. The single best-matched publication found: their readers already argue about time-in-range and algorithm accuracy
bl-diabetesmine,DiabetesMine,blog,https://www.healthline.com/diabetesmine,en,,"Feedspot list, Aug 2026 - UNVERIFIED",media,A,"The long-running diabetes technology desk, now part of Healthline",Device- and algorithm-angle pitch. Their DData/innovation coverage is the natural home for a benchmark story,uncontacted,"Historically the venue that covers DIY diabetes tech seriously - check current editorial contacts, the desk has changed hands"
bl-diabetesdaily,Diabetes Daily,blog,https://www.diabetesdaily.com/,en,"FB 4.2K, X 61.9K","Feedspot list, Aug 2026 - UNVERIFIED",media,A,"News, device reviews and a community forum","Two asks in one place: an article pitch, and a forum post - the forum is already a destinations.csv row (fo-diabetesdaily)",uncontacted,
bl-diabettech,The Diabettech Blog,blog,https://www.diabettech.com/,en,"FB 1.9K, X 5.1K","Feedspot list, Aug 2026 - UNVERIFIED",media,A,"Deep technical writing on diabetes technology, DIY looping and algorithms","Ask for a technical read of the study design. Small audience, exactly the right one",uncontacted,The most technically serious independent diabetes blog found. A favourable mention here carries weight with the Nightscout and Loop crowd
bl-diabetes-strong,Diabetes Strong,blog,https://diabetesstrong.com/,en,"FB 114.9K, IG 34.4K","Feedspot list, Aug 2026 - UNVERIFIED",media,A,Fitness and diabetes management,Exercise-framing guest post or mention,uncontacted,Pairs with the Diabetes Strong YouTube row
bl-beyondtype1,Beyond Type 1,blog,https://beyondtype1.org/,en,"FB 1.1M, IG 169.2K","Feedspot list, Aug 2026 - UNVERIFIED",media,A,The largest English-language T1D media and app ecosystem,Editorial pitch; offer Livia for a first-person piece,uncontacted,Largest audience in this file by an order of magnitude. Also in linkedin-people-catalogue and diabetes-orgs-catalogue
bl-t1international,T1International,blog,https://www.t1international.com/blog/,en,"FB 17.7K, IG 28.7K","Feedspot list, Aug 2026 - UNVERIFIED",advocacy,B,"Insulin access advocacy, explicitly independent of industry funding","Their independence is the fit: an open-source, non-commercial study is one of the few things they can amplify without conflict",uncontacted,
bl-t1dexchange,T1D Exchange Magazine,blog,https://t1dexchange.org/articles,en,FB 12.7K,"Feedspot list, Aug 2026 - UNVERIFIED",research,A,Research registry and magazine; runs a large patient registry,"Two-track: an article, and a conversation about their registry as a recruitment channel",uncontacted,A patient registry is the single highest-leverage recruitment structure in this whole catalogue - about 200 adults is small for them
bl-diabetogenic,Diabetogenic,blog,https://diabetogenic.blog/,en,X 12.2K,"Feedspot list, Aug 2026 - UNVERIFIED",media,B,"Long-running advocacy blog, strong voice in the international diabetes conference circuit","Conference-adjacent mention (ADA, ATTD, EASD season)",uncontacted,
bl-scotts-diabetes,Scott’s Diabetes,blog,https://scottsdiabetes.com/,en,X 11.6K,"Feedspot list, Aug 2026 - UNVERIFIED",media,C,Personal long-running diabetes blog,Community mention ask,uncontacted,
bl-savvy-diabetic,The Savvy Diabetic,blog,https://thesavvydiabetic.com/blog/,en,,"Feedspot list, Aug 2026 - UNVERIFIED",media,C,Personal blog on living with and managing diabetes,Community mention ask,uncontacted,
bl-thediabeteslink,The Diabetes Link - Peer Perspectives,blog,https://thediabeteslink.org/peer-perspectives/,en,FB 7.8K,"Feedspot list, Aug 2026 - UNVERIFIED",advocacy,A,Peer writing by young adults with diabetes at university age,Ask for a campus-network share. Their audience is the cleanest 18-25 channel found anywhere in this repo,uncontacted,Also in linkedin-people-catalogue
bl-breakthrough-t1d-uk,Breakthrough T1D UK,blog,https://breakthrought1d.org.uk/news-and-events/,en,FB 47.2K,"Feedspot list, Aug 2026 - UNVERIFIED",advocacy,B,UK arm of the former JDRF; research news and events,Research-news mention; also a grant-track contact,uncontacted,Cross-reference diabetes-orgs-catalogue for the grant angle
bl-newsmedical-t1d,News Medical - Type 1 Diabetes,blog,https://www.news-medical.net/condition/Type-1-Diabetes,en,FB 252.1K,"Feedspot list, Aug 2026 - UNVERIFIED",media,B,Science-news aggregator with a large health readership,"Press-release route once there is a result to report, not before",uncontacted,
bl-endocrinology-advisor,Endocrinology Advisor,blog,https://www.endocrinologyadvisor.com/news/,en,,"Feedspot list, Aug 2026 - UNVERIFIED",media,B,Clinician-facing endocrinology news,"Clinician-audience pitch, ethics-approval framing",uncontacted,
