org_id,name,country,focus,size,grants,url,sugar_sugar_relevance,status,notes
diabetiker-sachsen,Diabetiker Sachsen,Germany,All types,Small,No,https://www.diabetiker-sachsen.de/,Regional German self-help; example of many Bundeslaender groups,uncontacted,
idf-europe,IDF Europe,Belgium (pan-EU),All types,Umbrella (73 members),Indirectly (EU projects),https://idf.org/europe/,Gateway to ALL European national associations,uncontacted,
idf-global,International Diabetes Federation (IDF),Belgium (global),All types,Very Large (global),Indirectly,https://idf.org/,Global amplification; World Diabetes Day partnership opportunity,uncontacted,
easd-efsd,EASD / EFSD,Germany,All types,Very Large,Yes - major grants,https://www.easd.org/,Premier EU diabetes research funder; EFSD grants could fund Sugar-Sugar extension,uncontacted,
eudf,European Diabetes Forum (EUDF),Belgium,All types,Coalition,No (platform),https://www.eudf.org/,Digitalisation strategic forum directly relevant to Sugar-Sugar,uncontacted,
ispad,ISPAD,Germany (Berlin),Type 1 (pediatric),Large (global),Yes - research,https://www.ispad.org/,Youth T1D focus; Sugar-Sugar could expand to pediatric cohorts,uncontacted,
udf-ukraine,Ukrainian Diabetic Federation (UDF),Ukraine (Kharkiv),All types,Large (national),No (advocacy),http://www.diabetes.in.ua/,Key UA partner - distributed 30K+ glucose meters; Chair Valentina Ocheretenko,uncontacted,
idau-ukraine,IDAU,Ukraine (Kyiv),All types,Large (national),No (advocacy),https://idf.org/europe/our-network/our-members/ukraine/international-diabetes-association-of-ukraine/,Second major UA umbrella; policy influence on insulin reimbursement,uncontacted,
telehelp-ua,TeleHelp Ukraine,Ukraine/Poland,All types,Small,No (service),https://www.telehelpukraine.com/,Telehealth model overlaps with Sugar-Sugar remote study design,uncontacted,
ifl,Insulin for Life,USA/Global,All types (T1D focus),Medium,No (supply),https://ifl-usa.org/,Supply chain partner; distributes CGM/meter supplies in UA,uncontacted,
frdnbm-ro,FRDNBM (Romania),Romania,All types,Medium,Yes - research,https://frdnbm.ro/,Anton has RO Academy collab; local partner for Romanian recruitment,uncontacted,
srdnbm-ro,SRDNBM (Romania),Romania (Bucharest),All types,Medium (~10K FB indexed),Yes - research,https://www.srdnbm.ro/,"Forum Diabet pushed Law 249/2020 on early diabetes detection. Contact: office@societate-diabet.ro. Professional scientific partner: symposium/webinar, expert panel, CME, evidence dissemination",uncontacted,Source enriched from Outreach Landscape PDF
tidepool,Tidepool,USA,Type 1 (primary),Medium,No (tech),https://www.tidepool.org/,DIRECT FIT: Open-source CGM data platform; Sugar-Sugar could integrate with Tidepool data format,uncontacted,
nightscout,Nightscout Foundation,USA,Type 1,Small (volunteer),Small grants,https://www.nightscoutfoundation.org/,DIRECT FIT: Core open-source CGM community; Nightscout users are ideal early adopters,uncontacted,
openaps,OpenAPS community,Global,Type 1,Community,No (community),https://openaps.org/,DIRECT FIT: DIY APS users generate rich CGM data; natural recruitment pool,uncontacted,
diatribe,diaTribe Foundation,USA,All types,Medium,No (education),https://diatribe.org/,Major online diabetes audience; partnership could drive Sugar-Sugar signups,uncontacted,
bt1d-usa,Breakthrough T1D (USA HQ),USA,Type 1,Very Large,Yes - major grants,https://www.breakthrought1d.org/,Top-tier T1D research funder globally; funded CGM clinical trials,uncontacted,
bt1d-ca,Breakthrough T1D Canada,Canada,Type 1,Large,Yes - research,https://www.breakthrought1d.ca/,Canadian recruitment channel,uncontacted,
dri,Diabetes Research Institute Foundation,USA,Type 1 (primary),Large,Yes - research,https://diabetesresearch.org/,Clinical trial participants overlap with Sugar-Sugar audience,uncontacted,
beyondtype1,Beyond Type 1,USA (global),Type 1 + 2,Large,Yes - community grants,https://beyondtype1.org/,DIRECT FIT: Largest online diabetes community; ideal distribution channel,uncontacted,
t1international,T1International,UK (global),Type 1,Small-Medium,No (advocacy),https://www.t1international.com/,Global grassroots reach; patient-led ethos aligns with GlucoseDAO,uncontacted,
ada,American Diabetes Association,USA,All types,Very Large,Yes - research grants,https://diabetes.org/,Major grant funder; US recruitment channel,uncontacted,
daref,Diabetes Action Research & Education Foundation,USA,Type 1 & 2,Small-Medium,Yes - research,https://diabetesaction.org/,Lean org research-focused; could fund Sugar-Sugar pilot,uncontacted,
drwf-uk,DRWF (UK),UK,All types,Medium,Yes - fellowships,https://www.drwf.org.uk/,UK+international sister orgs; biannual grant calls,uncontacted,
drwf-usa,DRWF (USA),USA,All types,Medium,Yes - research,https://www.diabeteswellness.net/,US arm of UK DRWF,uncontacted,
diabetes-ca,Diabetes Canada,Canada,All types,Large,Yes - research,https://www.diabetes.ca/,Canadian recruitment,uncontacted,
joslin,Joslin Diabetes Center,USA,All types,Very Large,Yes - research,https://www.joslin.org/,Gold-standard clinical research center; potential academic collaboration,uncontacted,
ascotid-ro,ASCOTID Mureș (Asociația Copiilor și Tinerilor Diabetici),Romania (Mureș),Type 1 (pediatric),Medium,No (advocacy),https://www.ascotid.ro/,Pediatric and young-adult T1D advocacy; educational workshops and medical camps; expanded CGM access advocacy,uncontacted,Source: Multilingual Diabetes Research PDF and Outreach Landscape PDF
type1dreamers-ro,Type 1 Dreamers / Ines Nerina / Confesiuni cu Diabet,Romania,Type 1,Medium (110K+ reported community),No (community),https://confesiunicudiabet.ro/despre-proiect/,Emotionally credible Romanian patient storytelling; 110K+ community; combines medical education with lived-experience podcast/video,uncontacted,Source: Outreach Landscape PDF. Recommended for Romanian-language episode or patient story collaboration
retete-diabetici-ro,Rețete Diabetici / Diabet și Nutriție,Romania,All types,Dedicated audience (>5K),No (education),https://retetediabetici.ro/,Romanian glycemic indexing and clinical dietetics content; meal planning tailored to regional cuisine,uncontacted,Source: Multilingual Diabetes Research PDF
diabetes-strong,Diabetes Strong / Christel Oerum,USA (global),All types,Large (~114K YT / ~115K FB / ~35K IG),No (media),https://diabetesstrong.com/,"CGM/pump real-life tests, exercise experiments, patient-friendly tech comparisons. Best for data-led practical content",uncontacted,Source: Outreach Landscape PDF. Approach as practical collaboration not scripted endorsement
tcoyd,Taking Control of Your Diabetes (TCOYD),USA (global),All types,Medium (~15.9K YT),No (education/events),https://tcoyd.org/,Clinician-plus-patient webinar/podcast answering practical patient questions with humor,uncontacted,Source: Outreach Landscape PDF. Contact: office@societate-diabet.ro for SRDNBM co-events
