group_id,name,url,category,relevance,member,size,visibility,post_approval,activity_observed,self_promo_rule,status,notes
14621255,Brain Computer Interfaces / Neural Computing / Neuralink,https://www.linkedin.com/groups/14621255/,transhumanism,C,NO - join first,199,unknown,no,not visible to non-members,UNVERIFIED,uncontacted,Cyborgisation not biological enhancement
13360125,The Aging Well & Longevity Exchange,https://www.linkedin.com/groups/13360125/,longevity,C,NO - join first,880,unknown,YES,not visible to non-members,UNVERIFIED,uncontacted,Consumer-wellness slant
8877390,Aging Tech Israel,https://www.linkedin.com/groups/8877390/,longevity,C,NO - join first,975,unknown,YES,not visible to non-members,UNVERIFIED,uncontacted,
13705317,"Citizens Against Surveillance Capitalism, Technocracy, and Transhumanism (CASCTT)",https://www.linkedin.com/groups/13705317/,transhumanism,D,NO,401,unknown,YES,not visible to non-members,DO NOT POST,rejected,Explicitly anti-transhumanist. Posting an enhancement project here is picking a fight not finding an audience
4682610,AMWC AESTHETIC & ANTI-AGING MEDICINE WORLD CONGRESS,https://www.linkedin.com/groups/4682610/,longevity,D,NO,4232,unknown,YES,not visible to non-members,skip,rejected,Aesthetic medicine not research
4356467,Diabetes Innovation,https://www.linkedin.com/groups/4356467/,diabetes,A,NO - join first,16497,unknown,unknown,not sampled,UNVERIFIED,uncontacted,Directly on-topic for Sugar-Sugar / GlucoseDAO. Largest diabetes-specific LinkedIn group found. Join and read rules before posting
9881294,Advanced Post-Humanism and Transhumanist Ethics,https://www.linkedin.com/groups/9881294/,transhumanism,D,NO,14,unknown,YES,not visible to non-members,skip,rejected,14 members
2341623,transhumanism- for and against.,https://www.linkedin.com/groups/2341623/,transhumanism,D,NO,13,unknown,no,not visible to non-members,skip,rejected,13 members
3831948,Vancouver Transhumanism,https://www.linkedin.com/groups/3831948/,transhumanism,D,NO,1,unknown,no,not visible to non-members,skip,rejected,1 member
8206582,"Singularity, Transhumanism and the of future of Technology",https://www.linkedin.com/groups/8206582/,transhumanism,D,NO,1,unknown,no,not visible to non-members,skip,rejected,1 member
14059491,Biohackers India,https://www.linkedin.com/groups/14059491/,longevity,D,NO,15,unknown,no,not visible to non-members,skip,rejected,15 members
14725207,Human Exosuits / Exoskeletons / Implantable Protective,https://www.linkedin.com/groups/14725207/,transhumanism,D,NO,8,unknown,no,not visible to non-members,skip,rejected,8 members
9517509,Neuro-Interface Technology,https://www.linkedin.com/groups/9517509/,transhumanism,D,NO,53,unknown,YES,not visible to non-members,skip,rejected,
1148627,Association of Diabetes Care & Education Specialists,https://www.linkedin.com/groups/1148627/,diabetes,A,NO - join first,5800,unknown,unknown,not sampled,UNVERIFIED,uncontacted,Professional diabetes educators. Study protocol and ethics angle fits well
8308678,Diabetes Influencers Network,https://www.linkedin.com/groups/8308678/,diabetes,A,NO - join first,4000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,"Sweep 2026-08-27. A room of people whose job is amplifying diabetes content - the highest-leverage single group found for Sugar-Sugar. Approach as a collaboration ask, not a post"
1988408,Certified Diabetes Care and Education Specialists,https://www.linkedin.com/groups/1988408/,diabetes,A,NO - join first,5000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,"Sweep 2026-08-27. Diabetes educators - the ethics-approved-study angle and the human-baseline gap land here, not the game framing"
4656336,Clinical Trials and Research Groups Using Sensors and VivoSense Software,https://www.linkedin.com/groups/4656336/,clinical,A,NO - join first,2000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. Wearable-sensor clinical trials. Small but the single most precisely on-topic professional room found: CGM is exactly the sensor modality they work with
2237623,"Health & Medicine: AI Biotech, Digital Health & MedTech",https://www.linkedin.com/groups/2237623/,digital-health,A,NO - join first,281000,Public Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,"Sweep 2026-08-27. Largest relevant group on LinkedIn by an order of magnitude. Public, so posts are visible off-platform. Expect heavy noise - lead with the benchmark gap, not recruitment"
2181454,Digital Health,https://www.linkedin.com/groups/2181454/,digital-health,A,NO - join first,118000,Public Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. Second-largest. Public
3900784,Digital Health AI,https://www.linkedin.com/groups/3900784/,digital-health,A,NO - join first,24000,Public Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. Public. AI-in-health framing fits the JEPA and GlucoBench angle directly
2083836,Healthcare and Medical Data Science with Machine Learning Deep Learning AI,https://www.linkedin.com/groups/2083836/,ml-health,A,NO - join first,8000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. The ML audience most likely to care that no published human baseline for CGM forecasting exists
3733812,Digital Health and Informatics,https://www.linkedin.com/groups/3733812/,digital-health,B,NO - join first,12000,Public Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
2063962,MedTech | AI & Digital Health + HealthTech + Medical Devices,https://www.linkedin.com/groups/2063962/,digital-health,B,NO - join first,12000,Public Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
8447258,"AI, Machine Learning and Deep Learning in Healthcare & Pharmaceuticals",https://www.linkedin.com/groups/8447258/,ml-health,B,NO - join first,4000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
8551393,Machine Learning and Artificial Intelligence in Healthcare,https://www.linkedin.com/groups/8551393/,ml-health,B,NO - join first,1000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
846847,Artificial Intelligence & Machine Learning in Healthcare and Life Sciences,https://www.linkedin.com/groups/846847/,ml-health,B,NO - join first,1000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
86681,Clinical Research Professionals,https://www.linkedin.com/groups/86681/,clinical,B,NO - join first,342000,Public Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. Huge and public but generic - recruitment-methodology angle only
5168408,"WTS - Wearable, IOT, Digital Health, AR/VR, AI, Sensors, Smart Home, Connected Car",https://www.linkedin.com/groups/5168408/,wearables,B,NO - join first,4000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,"Sweep 2026-08-27. Wearables-first audience, adjacent to the multi-sensor forecasting direction"
13911337,"Patient Centricity - Pharma, Medical, Healthcare, Support, Safety, Health Economics, Advocacy & Jobs",https://www.linkedin.com/groups/13911337/,clinical,B,NO - join first,2000,Public Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. Patient-centricity framing suits a study built by someone who needed the tool herself
4571501,Life Science Patient Advocacy Community,https://www.linkedin.com/groups/4571501/,clinical,B,NO - join first,1000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
5159178,Imperial College London Diabetes and Endocrinology Discussions,https://www.linkedin.com/groups/5159178/,clinical,B,NO - join first,830,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,"Sweep 2026-08-27. Academic diabetes room - small, but a university audience that reads protocols"
2994511,Endocrinology,https://www.linkedin.com/groups/2994511/,clinical,B,NO - join first,1000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
1903595,Endocrinology interest Group,https://www.linkedin.com/groups/1903595/,clinical,B,NO - join first,3000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
2155440,American Diabetes Association - NYC,https://www.linkedin.com/groups/2155440/,diabetes,B,NO - join first,5000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. ADA regional chapter
132937,Complications of Diabetes Group,https://www.linkedin.com/groups/132937/,diabetes,B,NO - join first,3000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
4188686,Diabetes Market Networking Group,https://www.linkedin.com/groups/4188686/,diabetes,B,NO - join first,3000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. Commercial-leaning
1341897,Diabetes Psychology,https://www.linkedin.com/groups/1341897/,diabetes,B,NO - join first,2000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,"Sweep 2026-08-27. Behavioural-science audience - the ""how well can a person predict their own glucose"" question is native to them"
1785326,dLife - Its YOUR Diabetes Life,https://www.linkedin.com/groups/1785326/,diabetes,B,NO - join first,2000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
13533440,Make Health Digital,https://www.linkedin.com/groups/13533440/,digital-health,C,NO - join first,9000,Public Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
1881609,"Asia Pacific Medical Device Community - digital health, health innovation, medtech, public health",https://www.linkedin.com/groups/1881609/,digital-health,C,NO - join first,17000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. APAC-focused
9020042,DHENG! Healthcare Digitalization - Digital Health Eco System Next Generation,https://www.linkedin.com/groups/9020042/,digital-health,C,NO - join first,7000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. German-speaking healthcare digitalisation network
3941746,Society of Clinical Research Associates (SOCRA),https://www.linkedin.com/groups/3941746/,clinical,C,NO - join first,19000,Public Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
2592135,Indian Society for Clinical Research - ISCR,https://www.linkedin.com/groups/2592135/,clinical,C,NO - join first,60000,Public Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. India-focused
6959557,Wearable and Point-of-Care Diagnostic Devices,https://www.linkedin.com/groups/6959557/,wearables,C,NO - join first,288,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27
2151902,Pediatric Endocrinology,https://www.linkedin.com/groups/2151902/,clinical,C,NO - join first,4000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,"Sweep 2026-08-27. Paediatric - the study recruits adults 18+, so referral only"
2709629,Diabetes Jobs,https://www.linkedin.com/groups/2709629/,diabetes,D,NO - join first,4000,Private Group,unknown,not sampled,UNVERIFIED - LinkedIn groups publish no rules field; check for a pinned admin rule post after joining,uncontacted,Sweep 2026-08-27. Job board - do not post
