venue_id,name,type,city,country,audience,language,url,contact,relevance,format,timing,why_relevant,suggested_ask,souvenirs,status,notes
ws-umfcluj-diabet,UMF Iuliu Hatieganu - Disciplina Diabet si Boli de Nutritie,university-dept,Cluj-Napoca,RO,"Medical students, residents, diabetology staff",ro/en,https://umfcluj.ro/medicina/facultate/departamente/departamentul-5/diabet-boli-nutritie/,"Prof. dr. Gabriela Roman - groman@umfcluj.ro, 0264594455; clinic 0264-296829",A,guest-lecture,Academic year; a guest lecture can be slotted into a clinical rotation any term,The department's own published research interests include technology and telemedicine in diabetes management. That is the nearest thing in Romania to a department whose stated agenda already contains what Sugar-Sugar measures,"Write to Prof. Roman: a guest lecture to the diabetology rotation, with the students playing the study during the session, and a question about whether the clinic's adult patients could be told the study exists",limited,uncontacted,"Strongest named academic contact in this file: a public university email for the head of discipline. Address: Centrul Clinic de Diabet, str. Clinicilor 2-4, Cluj-Napoca. Professional contact details only - never record anything about any person's health"
ws-umfcd-diabet,"UMF Carol Davila - Disciplina Diabet, Nutritie si Boli Metabolice (Institutul N. Paulescu)",university-dept,Bucharest,RO,"Medical students, residents, diabetology staff",ro,https://umfcd.ro/educatie/facultati-si-resurse/facultatea-de-medicina/facultatea-de-medicina-departament-2-boli-infectioase-epidemiologie-microbiologie-parazitologie-virusologie-diabet-zaharat-endocrinologie/disciplina-diabet-nutritie-si-boli-metabolice-inst-nat-de-diabet-nutritie-si-boli-metabolice-prof-dr-n-paulescu-sp-cl-adulti-n-malaxa/,Switchboard +4021 3180721 / +4021 3180722 (rectorat@umfcd.ro),A,guest-lecture,Academic year,"The largest diabetes teaching unit in Romania, attached to the N. Paulescu National Institute of Diabetes - the institutional centre of gravity for Romanian diabetology, and named after the man who isolated insulin","Request a seminar slot for students, and separately ask the discipline whether the institute's outpatient adults may be told about the study",limited,uncontacted,"Titular professors listed on the department page: Radulian Gabriela, Serafinceanu Cristian, Guja Cristian. No individual emails are published - the rectorate switchboard is the only listed route. Address: Str. Dionisie Lupu 37, Bucharest"
ws-umft-diabet,"UMF Victor Babes Timisoara - Department VII, Diabetes, Nutrition and Metabolic Diseases",university-dept,Timisoara,RO,"Medical students, residents, diabetology staff",ro/en,https://www.umft.ro/en/medicine/departments-of-the-medicine-faculty/department-vii-internal-medicine-ii/internal-medicine-diabetes-nutrition-metabolic-diseases-and-systemic-rheumatology/,,A,guest-lecture,Academic year,"Faculty listed on the department page include Prof. Romulus Timar, publicly reported as incoming president of SRDNBM, and Prof. Bogdan Timar. A lecture here is also an introduction to the national society","Ask for a guest lecture to the diabetology rotation and, in the same message, for advice on getting a Sugar-Sugar workshop onto the SRDNBM congress programme",limited,uncontacted,"Verify the SRDNBM presidency claim before using it in writing - it comes from a medichub.ro news item, not from the society's own site. Clinic founded 1973. Pair with ws-medis-timisoara and ws-srdnbm-congres"
ws-umfiasi-diabet,UMF Grigore T. Popa Iasi - diabetes teaching and the Iasi County Diabetes Clinical Centre,university-dept,Iasi,RO,"Medical and nursing students, residents",ro,https://www.umfiasi.ro/,,B,guest-lecture,Academic year,"Iasi carries both a diabetes teaching unit and the bioengineering faculty that runs BENG, so one visit can serve the clinical audience and the engineering audience","Bundle with the BENG proposal: one trip, a clinical seminar and a student-conference workshop",limited,uncontacted,Named staff seen in public UMF Iasi documents - Mariana Graur (head of the county diabetes clinical centre) and Cristina Mihaela Lacatusu (named in a UMF Iasi teaching-post competition file). Both need confirming against a current department page before contact. Pair with ws-beng-iasi
ws-upb-fim,UNST Politehnica Bucharest - Faculty of Medical Engineering,university-dept,Bucharest,RO,"Medical-engineering students, BSc and MSc",ro/en,https://upb.ro/en/faculties/the-faculty-of-medical-engineering/,,A,ml-masterclass,Academic year; UPB also runs free ML/AI and data-science courses that carry time-series content,"An interdisciplinary faculty combining engineering, informatics and life sciences - the audience that can hear ""here is a forecasting benchmark and here is why the human baseline was missing"" without either half needing translation","Offer a guest session on time-series ML for glucose: the GlucoBench numbers, what a human scores against them, and the students play a round mid-lecture",limited,uncontacted,UPB publicly advertises free ML/AI and Data Science courses that include time-series forecasting and modelling - a natural host slot
ws-upt-ml-master,UPT Timisoara - Machine Learning MSc (taught in English),university-dept,Timisoara,RO,MSc students in machine learning and predictive analysis,en,https://www.upt.ro/educatie/masterat/facultati-si-programe/facultatea-de-automatica-si-calculatoare/machine-learning-en,,B,ml-masterclass,Academic year,"A whole MSc programme in ML and predictive analysis, taught in English. A real forecasting dataset with a human comparison arm is a guest lecture that gives them something they cannot download","Guest lecture on evaluating time-series forecasters, using the study as the worked example, with the game as the first 15 minutes",limited,uncontacted,Same city as ws-umft-diabet and ws-medis-timisoara - Timisoara supports a three-stop trip
ws-ubb-cluj-cs,Babes-Bolyai University - Faculty of Mathematics and Computer Science,university-dept,Cluj-Napoca,RO,"CS and maths students, summer-school participants",ro/en,https://www.cs.ubbcluj.ro/,,B,ml-masterclass,Academic year; UBB hosted an AI summer school on climate extremes 22-24 June 2026,"UBB already hosts AI summer schools on applying ML to time-series data in another domain, so the format is proven in the building. Same city as the strongest diabetes department in the file",Guest lecture or a slot in a future summer school; approach in the same trip as Prof. Roman at UMF Cluj,limited,uncontacted,"Cluj is the single highest-value trip in this file: UMF Cluj diabetes, UBB computer science, IT Days, the AI meetups and Noaptea Cercetatorilor all sit in one city"
ws-ase-datascience,ASE Bucharest - Data Science International Summer School,summer-school,Bucharest,RO,Students in data science and AI,en,https://datascience.ase.ro/,,C,ml-masterclass,Annual summer school,A standing international summer school in data science - a recurring slot rather than a one-off event,Ask to contribute a session on benchmarking time-series forecasters against human predictions,limited,uncontacted,"Lower priority than UPB and UBB: no diabetes adjacency, and the audience is the least likely of the three to include CGM users"
ws-srdnbm-congres,"Congresul National al Societatii Romane de Diabet, Nutritie si Boli Metabolice",professional-society,"Timisoara (2026), rotates",RO,"Diabetologists, residents, GPs, related specialties",ro,https://societate-diabet.ro/,office@societate-diabet.ro; evenimente@sanatateapress.ro; Cristian Bubu 0725.580.406,A,congress-workshop,"Annual, May. 52nd edition 20-23 May 2026 at Timisoara Convention Centre. Next edition expected May 2027","The 2026 edition was themed ""Diabetes in the era of TECH innovation and Artificial Intelligence"" and its programme includes interactive workshops. A study measuring human versus model prediction is on-theme rather than adjacent, and the room is full of clinicians who each see hundreds of adults with CGMs","Write to office@societate-diabet.ro about a workshop or e-poster for the next edition. The clinician ask is not ""play this"" but ""tell your CGM patients the study exists""",limited,uncontacted,Cross-reference: srdnbm-ro in diabetes-orgs-catalogue.csv. The 52nd edition has passed - this row is a 2027 target. Verify the next edition's dates and city before drafting
ws-frdnbm,"FRDNBM - Federatia Romana de Diabet, Nutritie si Boli Metabolice",professional-society,Bucharest (national),RO,Diabetes professionals and affiliated societies,ro,https://frdnbm.ro/evenimente-actuale/,,B,talk,Rolling events calendar,"Maintains a live events calendar for Romanian diabetes meetings, which is the cheapest way to find the smaller regional meetings that would actually take an unknown speaker",Use the calendar as a source for this file rather than as a destination; ask about the smaller regional meetings,limited,uncontacted,"Cross-reference: frdnbm-ro in diabetes-orgs-catalogue.csv, which notes an existing Romanian Academy collaboration"
ws-ascotid-mures,ASCOTID Mures - Asociatia Copiilor si Tinerilor Diabetici,patient-org,Targu Mures,RO,"Children and young adults with type 1 diabetes, plus families",ro,https://www.ascotid.ro/,,B,workshop,Camps and educational workshops through the year,"Already runs educational workshops and medical camps, so the format needs no explaining. The limit is age: the study is 18+, so only the young-adult tail and the accompanying adults can take part",Offer the workshop for the over-18 members and the parents. Be explicit in the first message that under-18s can play for fun but cannot be enrolled,yes,uncontacted,Already in diabetes-orgs-catalogue.csv (ascotid-ro) and media-catalogue.csv (web-ascotid) - check what has already been sent before writing. Same city as ws-lstgm-targu-mures
ws-sprijin-pentru-diabet,Asociatia Medicala Sprijin pentru Diabet,patient-org,Romania,RO,People with diabetes and their families,ro,https://www.sprijinpentrudiabet.ro/,,B,workshop,"Camps (Tabara Dulcineilor), World Diabetes Day, winter gathering",Runs a residential camp and has held its own conference series (Noi si Diabetul). A camp is the one setting where people have unhurried time to finish 6-12 rounds properly,Ask whether an adult session can be added to a camp or a World Diabetes Day event,yes,uncontacted,Their programme leans paediatric and insulin-dependent children - confirm there is an adult audience before travelling. No contact details published on the pages fetched
ws-aces,ACES - Asociatia pentru Consiliere si Educatie in Sanatate,patient-org,Romania,RO,"General public, prevention and diabetes awareness",ro,https://www.rodiabet.ro/asociatia-pentru-consiliere-si-educatie-in-sanatate-aces-incepe-in-forta-actiunile-de-constientizare-si-preventie-in-diabet/,,B,demo-stand,World Diabetes Day period and prevention campaigns,Runs awareness and prevention actions aimed at people who do not yet have diabetes - which is the half of the sample that is hardest to reach through diabetes channels,"Offer a stand at a prevention event: a laptop, the game, and the printed souvenir for anyone who beats a threshold",yes,uncontacted,Found through rodiabet.ro coverage rather than an own site - locate the association's own page and contact before writing
ws-da-si-eu-pot,"Asociatia ""Da, si eu pot!"" - proiectul ""Impreuna putem""",patient-org,Romania,RO,"Families of people with diabetes; doctors, psychologists, carers",ro,https://www.caspa.ro/asociatia-da-si-eu-pot-a-lansat-proiectul-impreuna-putem/,,C,workshop,Project-based,"Their project brings doctors, psychologists, patients and carers into the same room around lived experience. Carers of people with CGMs are adults who read traces daily and are eligible for the non-diabetic arm",Offer a session for carers specifically - the people who read someone else's trace and guess what comes next,yes,uncontacted,"Listed through CASPA, the Romanian patient-association community. Smallest and least verified row in the patient block"
ws-ziua-mondiala-diabetului,"Ziua Mondiala a Diabetului - Romanian events, 14 November",campaign-window,Romania (multiple cities),RO,"Mixed: patients, clinicians, general public",ro,https://ro.wikipedia.org/wiki/Ziua_Mondial%C4%83_a_Diabetului,,A,demo-stand,"14 November every year. Romanian associations run stands, free courses, roundtables and workshops around that date",Not a venue but the date every Romanian diabetes organisation already has an event on. It is far easier to be added to someone's existing 14 November programme than to ask them to create an event,"Pick two or three of the patient organisations in this file and ask each, by September, to add a play-the-study table to their 14 November programme",yes,uncontacted,"14 November 2026 is seven weeks after this file was written - too late for a headline slot, realistic for a table. Treat 2027 as the properly planned run"
ws-itdays-cluj,IT Days,tech-conference,Cluj-Napoca,RO,800+ developers and tech professionals; AI and hands-on lab tracks,en/ro,https://www.itdays.ro/,,A,workshop,"11-12 November 2026 at Cluj Innovation Park; annual, November","Its published structure includes hands-on labs and an AI domain alongside research. A room of 800 technical adults is a recruitment pool for the non-diabetic arm and a plausible source of people who would argue with the benchmark, which is useful","Propose a hands-on lab: play the game, then look at what the ML models score on the same segments. If the CFP has closed, ask for a table in the community area instead",yes,uncontacted,Nearest large event to the date this file was written. No CFP or contact email exposed on the front page - use the site's contact form. Same city as UMF Cluj and UBB
ws-devtalks-ro,DevTalks Romania (Bucharest and Cluj editions),tech-conference,Bucharest and Cluj-Napoca,RO,"2500+ developers per edition; AI, ML, DeepTech and Data topics",en,https://www.devtalks.ro/,CFP via https://sessionize.com/devtalks-romania-2026/,B,talk,"Bucharest June, Cluj September. The 2026 Cluj edition was 24 September 2026","The largest tech conference in the country and it runs a public Sessionize call for speakers, so there is an actual door rather than a contact form","Submit a talk through Sessionize for the next edition: a forecasting benchmark where the baseline is a person's hand, and what we learned building it",limited,uncontacted,A stage talk suits the ML-teaching half of the offer but not the play-and-print half - a conference stage is the wrong shape for handing out souvenirs. Consider combining with a booth
ws-devcon-ro,DevCon Romania,tech-conference,Romania,RO,Developers; dedicated AI and Machine Learning track,en,https://www.catalyst.ro/project/devcon/,CFP via https://sessionize.com/devcon-20263759/,C,talk,November,Has a standing AI and ML track and a public call for speakers,"Same talk as DevTalks, submitted through Sessionize",no,uncontacted,Lowest-effort submission in the file because the CFP is public. Low expected recruitment yield - a stage talk converts worse than a played round
ws-eeml,EEML - Eastern European Machine Learning Summer School,summer-school,"Rotates (Cetinje, ME in 2026)",intl,Graduate students and researchers in ML,en,https://www.eeml.eu/,,B,ml-masterclass,"Annual, summer. 2026 edition 27 July - 1 August in Cetinje, Montenegro","The successor to the Transylvanian Machine Learning Summer School, which started in Cluj. Its alumni and organiser network is the shortest path to Romanian ML researchers who could critique or use the benchmark",Not a workshop venue - approach it as a place to find collaborators and to ask whether a practical session on human-versus-model forecasting would fit a future edition,no,uncontacted,"tmlss.ro now redirects to the EEML identity. The school moves country each year, so it is only a Romanian venue in some editions"
ws-meetups-cluj-ai,"Cluj AI and data meetups (Cluj Data & AI, Artificial Intelligence Cluj)",community,Cluj-Napoca,RO,"Local ML and data practitioners, tens to low hundreds per event",en/ro,https://www.meetup.com/cluj-data-ai/,,B,talk,"Monthly-ish, year-round","A meetup organiser can say yes in a week, where a conference takes a year. Good place to run the lecture once and find out which parts of it land before proposing it to a congress",Offer a 30-minute talk plus a live play session. Bring souvenirs - a meetup is small enough that everyone who plays gets one,yes,uncontacted,Also: https://www.meetup.com/artificial-intelligence-cluj/ and https://www.meetup.com/big-data-data-science-meetup-cluj-napoca/ . Fastest route in the file from ask to stage
ws-meetups-bucuresti-ai,"Bucharest AI and ML meetups (Bucharest.AI, Bucharest Machine Learning Applications)",community,Bucharest,RO,"Local ML practitioners, academia and industry",en/ro,https://www.meetup.com/bucharest-machine-learning/,,B,talk,"Monthly, year-round","Bucharest Machine Learning Applications runs monthly and explicitly brings in outside speakers. Members come from academia, industry and the hobbyist edge","Same offer as Cluj: talk plus live play, souvenirs for everyone who finishes a session",yes,uncontacted,"Also: https://www.meetup.com/bucharest-ai/ , https://www.meetup.com/bucharest-deep-learning/ , https://www.meetup.com/artificial-intelligence-bucharest/ . AI Romania (airomania.eu) runs a Slack that spans these communities"
ws-noaptea-cercetatorilor,Noaptea Cercetatorilor Europeni (European Researchers' Night),science-festival,"Cluj-Napoca, Iasi, Bistrita and others",RO,"General public of all ages, thousands per city",ro,https://noapteacercetatorilor.educatiepentrustiinta.ro/,,A,demo-stand,"One night each September. 2026 edition Friday 25 September, 13:00-23:00","The programme already includes 3D printing and robotics stands next to medical ones, and it runs for ten hours in a public space. A stand with two laptops and a bowl of printed souvenirs is exactly the native format here, and it is free to the public so the crowd is broad",Apply to the Cluj organising consortium for a stand in the 2027 edition. For 2026 it is too late to register - go and watch how the stands are run instead,yes,uncontacted,"The single best format fit in this file: public, all-evening, hands-on, and the souvenir table is already the local idiom. Caveat: a large part of the crowd is under 18 and cannot be enrolled - they can still play, and their parents can enrol"
ws-romanian-science-festival,Romanian Science Festival (RSF Caravan),science-festival,"Rural and small-town Romania (Maramures, Arges and others)",RO,"School pupils and their teachers, thousands per caravan",ro,https://romaniansciencefestival.ro/,,B,workshop,"Caravan format, three-hour events across several localities",Founded to bring science to rural and small-town Romania through the academic diaspora - a Romanian researcher working abroad is precisely the mentor profile they recruit. Their workshop menu already lists AI and medicine,"Apply as an RSF mentor with the game as the workshop. Be clear that the value here is outreach and future recruitment, not enrolment: most participants are under 18",yes,uncontacted,"Do not count this as recruitment. The study is 18+, and the RSF audience is school pupils. It earns its place as the clearest expression of why the game exists, plus teacher contacts"
ws-bucharest-science-festival,Bucharest Science Festival,science-festival,Bucharest,RO,"General public, students, families",ro,https://www.bucharestsciencefestival.ro/,,B,workshop,"Annual, multi-day",Described in Romanian press as the country's most important science and technology festival - an urban adult audience alongside the family one,Apply with a workshop for the adult strand; ask which sessions are adults-only before proposing,yes,uncontacted,Check whether the adult-audience strand actually exists before applying - the value of this row depends entirely on it
ws-nod-makerspace,Nod Makerspace,makerspace,Bucharest,RO,"Makers, designers, engineers; adults",ro/en,https://nodmakerspace.ro/,,B,workshop,"Runs its own public events, courses and fairs year-round","The one venue in this file where the 3D-printed souvenir is not a curiosity but the house language - they have the printers. An evening where people play, and the prize prints while they watch, is a stronger version of the conference format","Propose a public evening: play the study, and print the winners' souvenirs live on their machines",yes,uncontacted,"Splaiul Unirii 160, in the former Cotton Factory. Also a route to Romanian maker communities in other cities if the evening works"
ws-pint-of-science,Pint of Science,science-festival,Not currently in Romania,intl,Adults in pubs and cafes,en,https://pintofscience.com/,,C,talk,"Three evenings each May, worldwide","Format-perfect for this study - adults, phones in hand, in a pub, three nights a year - but Romanian press reported in 2026 that Romania is not on the festival map","Either join a team in a country where it runs, or ask the organisation what starting a Romanian city involves. Neither is a quick win",yes,uncontacted,"Romania's absence was reported by edupedu.ro in 2026. Kept in the file because the format matches so exactly that founding a local edition is worth considering, not because it is actionable now"
